date,variant
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-03-31,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-01,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-02,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-03,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-04,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-05,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
2021-04-06,original
