date,cases,deaths,admissions
2021-06-11,164,0,23
2021-06-12,113,0,24
2021-06-13,113,0,23
2021-06-14,113,0,23
2021-06-15,113,0,24
2021-06-16,113,0,25
2021-06-17,113,0,27
2021-06-18,129,0,26
2021-06-19,129,0,26
2021-06-20,129,0,27
2021-06-21,129,0,28
2021-06-22,129,0,27
2021-06-23,129,0,27
2021-06-24,129,0,27
2021-06-25,110,0,26
2021-06-26,110,0,27
2021-06-27,110,0,26
2021-06-28,110,0,25
2021-06-29,110,0,27
2021-06-30,110,0,25
2021-07-01,110,0,24
2021-07-02,136,0,24
2021-07-03,136,0,24
2021-07-04,136,0,24
2021-07-05,136,0,24
2021-07-06,136,0,23
2021-07-07,136,0,25
2021-07-08,136,0,27
2021-07-09,187,0,28
2021-07-10,187,0,30
2021-07-11,187,0,31
2021-07-12,187,0,34
2021-07-13,187,0,37
2021-07-14,187,0,37
2021-07-15,187,0,39
2021-07-16,423,0,41
2021-07-17,423,0,43
2021-07-18,423,0,47
2021-07-19,423,0,48
2021-07-20,423,0,50
2021-07-21,423,0,53
2021-07-22,423,0,59
2021-07-23,758,0,66
2021-07-24,758,0,68
2021-07-25,758,0,72
2021-07-26,758,0,75
2021-07-27,758,0,81
2021-07-28,758,0,87
2021-07-29,758,0,90
2021-07-30,1028,0,92
2021-07-31,1028,0,98
2021-08-01,1028,0,103
2021-08-02,1028,0,107
2021-08-03,1028,0,114
2021-08-04,1028,0,119
2021-08-05,1028,0,121
2021-08-06,1234,0,128
2021-08-07,1234,0,136
2021-08-08,1234,0,136
2021-08-09,1234,0,142
2021-08-10,1234,0,145
2021-08-11,1234,0,150
2021-08-12,1234,0,158
2021-08-13,1569,0,158
2021-08-14,1569,0,155
2021-08-15,1569,0,160
2021-08-16,1569,0,161
2021-08-17,1569,0,163
2021-08-18,1569,0,161
2021-08-19,1569,0,161
2021-08-20,1609,0,162
2021-08-21,1609,0,163
2021-08-22,1609,0,161
2021-08-23,1609,0,163
2021-08-24,1609,0,160
2021-08-25,1609,0,161
2021-08-26,1609,0,160
2021-08-27,1698,0,156
2021-08-28,1698,0,158
2021-08-29,1698,0,160
2021-08-30,1698,0,157
2021-08-31,1698,0,156
2021-09-01,1698,0,156
2021-09-02,1698,0,157
2021-09-03,1400,0,154
2021-09-04,1400,0,147
2021-09-05,1400,0,142
2021-09-06,1400,0,140
