age,start,end,duration
59,house,outdoor,30
59,outdoor,workplace,130
59,workplace,workplace,215
59,workplace,outdoor,5
59,outdoor,grocery,120
59,grocery,grocery,60
59,grocery,outdoor,5
59,outdoor,outdoor,15
59,outdoor,outdoor,30
59,outdoor,outdoor,15
59,outdoor,outdoor,100
59,outdoor,workplace,105
59,workplace,restaurant,20
59,restaurant,restaurant,30
59,restaurant,restaurant,30
59,restaurant,outdoor,15
59,outdoor,outdoor,125
59,outdoor,house,125
60,house,workplace,720
60,workplace,outdoor,60
60,outdoor,workplace,105
60,workplace,restaurant,146
60,restaurant,outdoor,15
60,outdoor,restaurant,10
60,restaurant,outdoor,30
60,outdoor,house,30
61,house,workplace,180
61,workplace,outdoor,75
61,outdoor,worship,25
61,worship,outdoor,45
61,outdoor,outdoor,12
61,outdoor,bank,15
61,bank,grocery,30
61,grocery,outdoor,5
61,outdoor,restaurant,20
61,restaurant,bank,10
61,bank,grocery,45
61,grocery,outdoor,180
61,outdoor,grocery,45
61,grocery,outdoor,10
61,outdoor,outdoor,5
61,outdoor,outdoor,45
61,outdoor,grocery,60
61,grocery,outdoor,15
61,outdoor,outdoor,45
61,outdoor,restaurant,30
61,restaurant,outdoor,110
61,outdoor,workplace,290
61,workplace,house,290
62,house,workplace,420
62,workplace,grocery,30
62,grocery,outdoor,5
62,outdoor,restaurant,40
62,restaurant,outdoor,15
62,outdoor,restaurant,180
62,restaurant,restaurant,102
62,restaurant,grocery,60
62,grocery,outdoor,3
62,outdoor,outdoor,20
62,outdoor,outdoor,90
62,outdoor,outdoor,5
62,outdoor,house,5
63,house,workplace,180
63,workplace,worship,35
63,worship,outdoor,15
63,outdoor,workplace,300
63,workplace,restaurant,3
63,restaurant,outdoor,90
63,outdoor,grocery,5
63,grocery,restaurant,248
63,restaurant,outdoor,5
63,outdoor,grocery,45
63,grocery,house,45
64,house,outdoor,15
64,outdoor,workplace,390
64,workplace,outdoor,20
64,outdoor,workplace,390
64,workplace,outdoor,10
64,outdoor,outdoor,10
64,outdoor,outdoor,120
64,outdoor,outdoor,142
64,outdoor,house,142
65,house,restaurant,120
65,restaurant,outdoor,5
65,outdoor,outdoor,402
65,outdoor,bank,60
65,bank,restaurant,145
65,restaurant,outdoor,25
65,outdoor,outdoor,5
65,outdoor,outdoor,15
65,outdoor,restaurant,30
